start_name,stop_name,count,start_lng,start_lat,stop_lng,stop_lat,distance
Dearborn St & Erie St,Clark St & Elm St,115,-87.62504533333333,41.881952,-87.639490247,41.876943469,2065.2
Michigan Ave & Lake St,Clinton St & Washington Blvd,131,-87.62783423066139,41.88462107257936,-87.639366,41.877245,2060.5
State St & Chicago Ave,Clark St & Elm St,133,-87.629634,41.884241,-87.639490247,41.876943469,1942.6
Halsted St & Roosevelt Rd,Morgan St & Polk St,187,-87.659141,41.868968,-87.654144168,41.855135322,1927.1
Morgan St & Polk St,Halsted St & Roosevelt Rd,207,-87.654144168,41.855135322,-87.659141,41.868968,1926.7
Southport Ave & Wellington Ave,Sheffield Ave & Wellington Ave,143,-87.653714895,41.925570369,-87.6475386582,41.9364968219,1773.5
Sheffield Ave & Wellington Ave,Southport Ave & Wellington Ave,121,-87.6475386582,41.9364968219,-87.653714895,41.925570369,1770.9
Clark St & Elm St,State St & Chicago Ave,112,-87.639490247,41.876943469,-87.629634,41.884241,1707.1
Michigan Ave & Washington St,Franklin St & Lake St,126,-87.62783885,41.877289534,-87.623051167,41.867923737,1644.0
900 W Harrison St,Loomis St & Lexington St,130,-87.627887964,41.877249837,-87.623041,41.867888,1635.7
Kingsbury St & Kinzie St,Clinton St & Jackson Blvd,116,-87.627942204,41.877164006,-87.623041,41.867888,1629.6
Aberdeen St & Jackson Blvd,Loomis St & Lexington St,144,-87.627844,41.877181,-87.623041,41.867888,1627.9
Shedd Aquarium,Millennium Park,150,-87.627844,41.877181,-87.623041,41.867888,1627.9
Shedd Aquarium,DuSable Lake Shore Dr & Monroe St,111,-87.627844,41.877181,-87.623041,41.867888,1627.9
Shedd Aquarium,Streeter Dr & Grand Ave,141,-87.627844,41.877181,-87.623041,41.867888,1627.9
Wabash Ave & Roosevelt Rd,Wabash Ave & 16th St,130,-87.627844,41.877181,-87.623041,41.867888,1627.9
Michigan Ave & Washington St,Clinton St & Washington Blvd,136,-87.62783885,41.877289534,-87.639366,41.877245,1611.5
Kingsbury St & Kinzie St,Clinton St & Washington Blvd,191,-87.627942204,41.877164006,-87.639366,41.877245,1601.1
Rush St & Hubbard St,Clinton St & Washington Blvd,137,-87.627844,41.877181,-87.639366,41.877245,1599.5
State St & Kinzie St,Clinton St & Washington Blvd,190,-87.627844,41.877181,-87.639366,41.877245,1599.5
Wolcott Ave & Polk St,Loomis St & Lexington St,384,-87.628207207,41.876968741,-87.623041,41.867888,1573.2
Loomis St & Lexington St,Wolcott Ave & Polk St,368,-87.623041,41.867888,-87.628207207,41.876968741,1573.2
Sheffield Ave & Wellington Ave,Broadway & Barry Ave,158,-87.6475386582,41.9364968219,-87.648636,41.949074,1547.2
Broadway & Barry Ave,Sheffield Ave & Wellington Ave,113,-87.648636,41.949074,-87.6475386582,41.9364968219,1547.2
Dearborn St & Monroe St,Federal St & Polk St,176,-87.623041,41.867888,-87.627844,41.877181,1478.4
LaSalle St & Jackson Blvd,Canal St & Madison St,161,-87.623041,41.867888,-87.627844,41.877181,1478.4
Wabash Ave & 16th St,Wabash Ave & Roosevelt Rd,119,-87.623041,41.867888,-87.627844,41.877181,1478.4
DuSable Lake Shore Dr & Monroe St,Shedd Aquarium,122,-87.623041,41.867888,-87.627844,41.877181,1478.4
State St & 33rd St,MLK Jr Dr & 29th St,326,-87.627898335,41.877121925,-87.626019597,41.867220283,1417.3
Clinton St & Washington Blvd,Kingsbury St & Kinzie St,126,-87.639366,41.877245,-87.627942204,41.877164006,1371.0
Clinton St & Washington Blvd,Rush St & Hubbard St,113,-87.639366,41.877245,-87.627844,41.877181,1369.4
Clinton St & Washington Blvd,State St & Kinzie St,126,-87.639366,41.877245,-87.627844,41.877181,1369.4
Clinton St & Washington Blvd,Michigan Ave & Washington St,112,-87.639366,41.877245,-87.62783885,41.877289534,1294.0
Wabash Ave & 9th St,State St & Van Buren St,119,-87.631244183,41.885747433,-87.627868295,41.876937866,1279.5
MLK Jr Dr & 29th St,State St & 33rd St,347,-87.626019597,41.867220283,-87.627898335,41.877121925,1268.0
Halsted St & Polk St,Halsted St & Maxwell St,249,-87.628388286,41.884695053,-87.627844,41.877181,1160.1
Wacker Dr & Washington St,Michigan Ave & Lake St,122,-87.627844,41.877181,-87.62783423066139,41.88462107257936,1141.2
Halsted St & Maxwell St,Halsted St & Polk St,250,-87.627844,41.877181,-87.628388286,41.884695053,1094.1
Wells St & Elm St,State St & Chicago Ave,188,-87.62825048,41.87710464,-87.629634,41.884241,937.4
State St & Chicago Ave,Wells St & Elm St,179,-87.629634,41.884241,-87.62825048,41.87710464,871.4
Fairbanks Ct & Grand Ave,Wabash Ave & Grand Ave,127,-87.636687517,41.890035748,-87.64169722795485,41.89380805624359,686.2
State St & Van Buren St,Canal St & Jackson Blvd,119,-87.627868295,41.876937866,-87.627844,41.877181,163.5
Larrabee St & Division St,Larrabee St & Kingsbury St,115,-87.658783793,41.891768336,-87.658871293,41.891812325,101.1
Kingsbury St & Erie St,Kingsbury St & Kinzie St,244,-87.627882123,41.877175093,-87.627942204,41.877164006,44.3
Kingsbury St & Kinzie St,Kingsbury St & Erie St,141,-87.627942204,41.877164006,-87.627882123,41.877175093,44.3
Southport Ave & Waveland Ave,Southport Ave & Irving Park Rd,162,-87.648619652,41.949103236,-87.648557425,41.949082136,37.9
Larrabee St & Kingsbury St,Larrabee St & Division St,111,-87.658871293,41.891812325,-87.658783793,41.891768336,34.7
Ravenswood Ave & Lawrence Ave,Clark St & Winnemac Ave,185,-87.648636,41.949074,-87.64858222,41.949113965,34.5
Clark St & Winnemac Ave,Ravenswood Ave & Lawrence Ave,172,-87.64858222,41.949113965,-87.648636,41.949074,34.5
Clark St & Wrightwood Ave,Sheffield Ave & Fullerton Ave,193,-87.64860933333334,41.949063333333335,-87.64862,41.94910266666667,33.5
Halsted St & Wrightwood Ave,Sheffield Ave & Fullerton Ave,117,-87.64854233333334,41.949085,-87.64862,41.94910266666667,31.6
Sheffield Ave & Fullerton Ave,Halsted St & Wrightwood Ave,129,-87.64862,41.94910266666667,-87.64854233333334,41.949085,31.6
Sheffield Ave & Fullerton Ave,Sheffield Ave & Wrightwood Ave,115,-87.64862,41.94910266666667,-87.648636,41.949074,31.4
Southport Ave & Roscoe St,Southport Ave & Waveland Ave,143,-87.648636,41.949074,-87.648619652,41.949103236,31.4
Sheffield Ave & Fullerton Ave,Greenview Ave & Fullerton Ave,343,-87.64862,41.94910266666667,-87.648636,41.949074,31.4
Greenview Ave & Fullerton Ave,Sheffield Ave & Fullerton Ave,245,-87.648636,41.949074,-87.64862,41.94910266666667,31.4
Southport Ave & Waveland Ave,Southport Ave & Roscoe St,167,-87.648619652,41.949103236,-87.648636,41.949074,31.4
Sheffield Ave & Fullerton Ave,Southport Ave & Wrightwood Ave,199,-87.64862,41.94910266666667,-87.648636,41.949074,31.4
Southport Ave & Wrightwood Ave,Sheffield Ave & Fullerton Ave,218,-87.648636,41.949074,-87.64862,41.94910266666667,31.4
Broadway & Berwyn Ave,Clark St & Berwyn Ave,153,-87.648636,41.949074,-87.648652673,41.949104905,28.7
DuSable Lake Shore Dr & Monroe St,Dusable Harbor,109,-87.623041,41.867888,-87.623053908,41.868026018,15.4
Shore Dr & 55th St,University Ave & 57th St,144,-87.594602108,41.799566507,-87.594749808,41.799550414,12.3
University Ave & 57th St,Shore Dr & 55th St,125,-87.594749808,41.799550414,-87.594602108,41.799566507,12.3
Wacker Dr & Washington St,Michigan Ave & Washington St,140,-87.627844,41.877181,-87.62783885,41.877289534,12.1
