id,name,latitude,longitude,dpcapacity,landmark
126,Clark St & North Ave,41.911974,-87.631942,15,128
127,Lincoln Ave & Fullerton Ave,41.925905,-87.64926,15,131
128,Damen Ave & Chicago Ave,41.895769,-87.67722,15,132
129,Blue Island Ave & 18th St,41.857556,-87.661535,15,135
130,Damen Ave & Division St,41.90331,-87.67695,15,136
131,Lincoln Ave & Belmont Ave,41.939365,-87.668385,15,140
132,Wentworth Ave & 24th St,41.849237,-87.631715,15,149
133,Kingsbury St & Kinzie St,41.88917683,-87.63850577,27,532
134,Peoria St & Jackson Blvd,41.877749,-87.649633,19,158
135,Halsted St & 21st St,41.85378,-87.64665,11,162
136,Racine Ave & 13th St,41.865054,-87.656959,15,165
137,Morgan Ave & 14th Pl,41.862378,-87.651062,15,169
138,Clybourn Ave & Division St,41.904509,-87.6405,15,171
140,Dearborn Pkwy & Delaware Pl,41.899007,-87.629928,19,173
141,Clark St & Lincoln Ave,41.915689,-87.6346,23,179
142,McClurg Ct & Erie St,41.8943136,-87.61742002,19,531
143,Sedgwick St & Webster Ave,41.922167,-87.638888,15,191
144,Larrabee St & Webster Ave,41.92175,-87.64401,15,193
145,Mies van der Rohe Way & Chestnut St,41.89858665,-87.62191523,19,529
146,Loomis St & Jackson Blvd,41.877945,-87.662007,11,206
147,Indiana Ave & 26th St,41.8457,-87.62248,15,212
148,State St & 33rd St,41.834734,-87.625813,11,216
149,Calumet Ave & 33rd St,41.8349,-87.61793,11,217
150,Fort Dearborn Dr & 31st St,41.838556,-87.608218,15,220
152,Lincoln Ave & Diversey Pkwy,41.932225,-87.658617,15,226
153,Southport Ave & Wellington Ave,41.935733,-87.663576,19,228
154,Southport Ave & Belmont Ave,41.93949,-87.66378,15,229
156,Clark St & Wellington Ave,41.93649682,-87.64753866,15,232
157,Lake Shore Dr & Wellington Ave,41.936669,-87.636794,15,234
158,Milwaukee Ave & Wabansia Ave,41.912616,-87.681391,15,243
159,Claremont Ave & Hirsch St,41.907781,-87.685854,11,245
160,Campbell Ave & North Ave,41.910535,-87.689556,15,257
161,Rush St & Superior St,41.89576475,-87.62590803,23,530
162,Damen Ave & Wellington Ave,41.93588,-87.67842,15,268
163,Damen Ave & Clybourn Ave,41.931931,-87.677856,15,271
164,Franklin St & Lake St,41.885837,-87.6355,23,272
165,Clark St & Grace St,41.95078,-87.659172,19,275
166,Ashland Ave & Wrightwood Ave,41.92883,-87.668507,15,296
167,Damen Ave & Coulter St,41.8492,-87.67564,11,306
168,Michigan Ave & 14th St,41.864059,-87.623727,19,310
169,Canal St & Harrison St,41.874337,-87.639566,15,326
170,Clinton St & 18th St,41.85795,-87.640826,15,329
171,May St & Cullerton St,41.855136,-87.654127,11,331
172,Rush St & Cedar St,41.9023087,-87.62769053,11,525
173,Mies van der Rohe Way & Chicago Ave,41.89691,-87.621743,15,338
174,Canal St & Madison St,41.882091,-87.639833,23,341
175,Wells St & Polk St,41.872373,-87.633523,19,344
176,Clark St & Elm St,41.903233,-87.631253,19,349
177,Theater on the Lake,41.926277,-87.630834,23,350
178,State St & 19th St,41.856594,-87.627542,15,408
179,MLK Jr Dr & Oakwood Blvd,41.82256,-87.61615,15,420
180,Ritchie Ct & Banks St,41.906782,-87.626402,15,523
181,LaSalle St & Illinois St,41.890749,-87.63206,31,430
182,Wells St & Elm St,41.903222,-87.634324,23,522
183,Damen Ave & Augusta Blvd,41.899714,-87.677234,15,142
184,State St & 35th St,41.83104,-87.62688,19,82
185,Stave St & Armitage Ave,41.917741,-87.691392,11,266
186,Ogden Ave & Race Ave,41.891795,-87.658751,15,194
188,Greenview Ave & Fullerton Ave,41.92533,-87.6658,15,295
190,Southport Ave & Wrightwood Ave,41.92888,-87.66317,15,298
191,Canal St & Monroe St,41.8807,-87.63947,23,56
192,Canal St & Adams St,41.879255,-87.639904,39,11
193,State St & 29th St,41.841707,-87.626938,15,213
194,Wabash Ave & Wacker Pl,41.886875,-87.62603,19,339
195,Columbus Dr & Randolph St,41.884728,-87.619521,31,263
196,Cityfront Plaza Dr & Pioneer Ct,41.890252,-87.622105,19,427
197,Michigan Ave & Madison St,41.882134,-87.625125,19,36
198,Halsted St & Madison St,41.88175,-87.6478,19,159
199,Wabash Ave & Grand Ave,41.891738,-87.626937,15,4
200,MLK Jr Dr & 47th St,41.809851,-87.616279,11,90
201,Indiana Ave & 40th St,41.82168,-87.6216,15,83
202,Halsted St & 18th St,41.857499,-87.646277,15,99
203,Western Ave & 21st St,41.85394,-87.685243,15,91
204,Prairie Ave & Garfield Blvd,41.794853,-87.618691,15,101
205,Paulina St & 18th St,41.857901,-87.668745,15,88
206,Halsted St & Archer Ave,41.847203,-87.646795,15,98
207,Emerald Ave & 28th St,41.84358,-87.645368,15,399
208,Ashland Ave & 21st St,41.85381,-87.665897,15,307
209,Normal Ave & Archer Ave,41.849527,-87.640591,11,308
210,Ashland Ave & Division St,41.90345,-87.667747,19,61
211,St. Clair St & Erie St,41.894448,-87.622663,19,16
212,Wells St & Hubbard St,41.889933,-87.634262,31,264
213,Leavitt St & North Ave,41.910153,-87.68229,15,244
214,Damen Ave & Grand Ave,41.89122,-87.67686,15,141
215,Damen Ave & Madison St,41.88137,-87.67493,15,134
216,California Ave & Division St,41.903029,-87.697474,15,256
